x;Own;IntentToBuy;BrandAwareness_Anker;BrandAwareness_Bose;BrandAwareness_JBL;BrandAwareness_Philips;BrandAwareness_Sony;BrandAwareness_UE;BrandAwareness_HarmanKardon;BrandAwareness_Beats;BrandAwareness_None;SubjKnow_r1;SubjKnow_r2;SubjKnow_r3;SubjKnow_r4;SubjKnow_r5;PII_1;PII_2;PII_3;PII_4;PII_5;RelImp_battery;RelImp_weight;RelImp_price;RelImp_sound;Gender;Age;Occupation;Education;Income;brand_awareness;fa;fa2;factor_price.sound;factor_battery;factor_weight;factor_age.occupation.income.education;clusters
1;1;1;0;1;1;1;1;0;0;1;0;5;6;2;4;6;5;5;5;4;5;10;10;30;50;1;3;3;3;1;6;0.781652788;0.326813475;-0.35347336;-1.062489737;-0.188499493;-0.666238477;2
2;1;0;0;1;1;1;1;0;0;0;0;6;6;6;6;6;5;5;5;5;5;15;10;40;35;1;2;3;2;2;5;1.376409494;0.510087719;0.446427067;-0.661046073;-0.181270607;-0.788949413;1
3;1;0;0;1;1;0;0;1;0;1;0;5;5;4;5;6;7;6;7;5;6;30;15;5;50;1;2;3;3;3;5;0.871700904;1.360192971;-1.258991945;0.481727442;0.365003295;-0.406731592;1
4;1;0;0;1;1;0;1;1;1;1;0;5;6;6;5;7;6;5;5;5;5;10;0;45;45;2;3;3;3;2;7;1.318050432;0.653972753;0.348304479;-1.0816189;-1.22384924;-0.440872628;4
5;1;0;0;1;0;0;0;0;0;1;0;5;6;2;6;6;6;6;6;6;6;50;10;10;30;1;2;3;4;2;3;0.942954173;1.233768795;-0.483367986;2.025369039;-0.118646889;-0.475245468;1
6;1;0;0;1;0;0;0;0;0;1;0;6;2;6;6;6;6;6;6;6;6;60;5;5;30;1;2;3;4;3;3;0.921812697;1.233768795;-0.654635077;2.778492361;-0.617956998;-0.249879619;1
7;1;0;0;1;1;1;1;0;0;1;0;7;7;7;7;7;7;7;7;7;7;35;10;20;35;2;2;3;3;2;6;2.029248478;1.957449871;-0.27143005;0.870514261;-0.145142154;-0.63209744;4
8;1;0;1;1;1;0;0;0;0;1;0;6;7;3;6;6;6;6;6;6;5;20;10;30;40;2;3;1;4;5;5;1.305488759;1.167698349;-0.059492114;-0.284340516;-0.171637418;1.025701051;4
9;1;0;1;1;1;0;0;0;1;0;0;5;5;5;3;6;6;6;6;5;6;50;5;30;15;1;2;3;3;2;5;0.771922831;1.050494551;0.683658189;2.031265775;-0.637824452;-0.63209744;1
10;0;1;0;1;1;0;0;0;0;1;0;4;3;4;4;3;4;4;4;5;5;25;20;20;35;2;3;3;2;2;4;-0.252571378;0.035751332;-0.287824428;0.130047784;0.87154229;-0.5977246;2
