id,cs,alt,choice,none,price,battery1,battery2,battery3,battery4,weight1,weight2,weight3,sound1,sound2,sound3
6,1,1,0,0,150,0,0,0,0,0,1,0,0,0,0
6,1,2,1,0,90,0,1,0,0,0,0,0,0,1,0
6,1,3,0,0,130,0,0,1,0,0,0,1,1,0,0
6,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2,1,0,0,70,0,0,0,1,0,0,0,0,0,1
6,2,2,0,0,110,0,0,1,0,1,0,0,0,0,0
6,2,3,1,0,70,1,0,0,0,0,1,0,1,0,0
6,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,3,1,0,0,150,0,1,0,0,1,0,0,0,0,1
6,3,2,0,0,110,0,0,0,1,0,1,0,0,0,1
6,3,3,1,0,90,0,0,0,0,0,0,1,0,1,0
6,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,4,1,1,0,70,0,0,1,0,0,0,1,1,0,0
6,4,2,0,0,130,1,0,0,0,0,0,0,0,1,0
6,4,3,0,0,150,0,0,0,1,1,0,0,0,0,0
6,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,5,1,0,0,150,0,0,1,0,0,0,0,0,1,0
6,5,2,0,0,130,0,1,0,0,0,0,1,0,0,1
6,5,3,1,0,90,1,0,0,0,0,1,0,0,0,0
6,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0,0,130,0,0,0,0,0,1,0,1,0,0
6,6,2,1,0,90,0,0,1,0,0,0,0,1,0,0
6,6,3,0,0,110,0,0,0,1,1,0,0,0,0,1
6,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,7,1,1,0,70,0,0,0,0,0,0,1,0,0,0
6,7,2,0,0,110,0,1,0,0,1,0,0,0,1,0
6,7,3,0,0,90,1,0,0,0,1,0,0,0,0,1
6,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,8,1,0,0,90,0,0,1,0,0,0,1,0,0,0
6,8,2,1,0,70,1,0,0,0,1,0,0,0,1,0
6,8,3,0,0,150,0,1,0,0,0,1,0,1,0,0
6,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
6,9,1,0,0,130,0,1,0,0,0,0,1,1,0,0
