"","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","Age","Occupation","Education","Income","brand_awareness","fa","fa2","factor_price.sound","factor_battery","factor_weight","factor_age.occupation.income.education","clusters"
"1",1,1,0,1,1,1,1,0,0,1,0,5,6,2,4,6,5,5,5,4,5,10,10,30,50,1,3,3,3,1,6,0.78165278831524,0.326813474798029,-0.353473359768348,-1.06248973723198,-0.18849949331281,-0.421334304183624,2
"2",1,0,0,1,1,1,1,0,0,0,0,6,6,6,6,6,5,5,5,5,5,15,10,40,35,1,2,3,2,2,5,1.37640949422286,0.510087718632185,0.446427067347736,-0.661046072766036,-0.181270606950347,-0.727104112557179,1
"3",1,0,0,1,1,0,0,1,0,1,0,5,5,4,5,6,7,6,7,5,6,30,15,5,50,1,2,3,3,3,5,0.87170090449939,1.36019297124764,-1.25899194539267,0.481727441851124,0.365003295425802,-0.350242796728432,1
"4",1,0,0,1,1,0,1,1,1,1,0,5,6,6,5,7,6,5,5,5,5,10,0,45,45,2,3,3,3,2,7,1.31805043246777,0.653972752792038,0.348304478766801,-1.08161890013583,-1.223849239742,-0.220271919309871,4
"5",1,0,0,1,0,0,0,0,0,1,0,5,6,2,6,6,6,6,6,6,6,50,10,10,30,1,2,3,4,2,3,0.942954173433891,1.2337687946876,-0.483367986006784,2.02536903896061,-0.118646889240642,-0.37550625064719,1
"6",1,0,0,1,0,0,0,0,0,1,0,6,2,6,6,6,6,6,6,6,6,60,5,5,30,1,2,3,4,3,3,0.921812696636305,1.2337687946876,-0.654635076536351,2.77849236109171,-0.617956997949259,-0.174443865773437,1
"7",1,0,0,1,1,1,1,0,0,1,0,7,7,7,7,7,7,7,7,7,7,35,10,20,35,2,2,3,3,2,6,2.02924847798588,1.95744987074302,-0.271430050088193,0.870514261376764,-0.145142153597017,-0.551305181602184,4
"8",1,0,1,1,1,0,0,0,0,1,0,6,7,3,6,6,6,6,6,6,5,20,10,30,40,2,3,1,4,5,5,1.30548875908731,1.16769834919404,-0.0594921141696014,-0.284340516207083,-0.171637417953391,0.558714166266382,4
"9",1,0,1,1,1,0,0,0,1,0,0,5,5,5,3,6,6,6,6,5,6,50,5,30,15,1,2,3,3,2,5,0.77192283089147,1.05049455085345,0.683658188656679,2.03126577495055,-0.637824451601793,-0.551305181602184,1
"10",0,1,0,1,1,0,0,0,0,1,0,4,3,4,4,3,4,4,4,5,5,25,20,20,35,2,3,3,2,2,4,-0.252571378250099,0.0357513319044811,-0.287824427747022,0.130047784185966,0.871542290496883,-0.396070850264865,2
